iter	Passed	Remaining
0	34	6816
1	53	5321
2	73	4843
3	93	4592
4	113	4424
5	132	4299
6	153	4225
7	173	4162
8	198	4211
9	222	4230
10	244	4197
11	265	4162
12	285	4107
13	304	4045
14	323	3992
15	343	3949
16	363	3918
17	384	3886
18	403	3847
19	422	3805
20	442	3772
21	462	3744
22	482	3716
23	502	3684
24	521	3650
25	541	3620
26	560	3588
27	579	3561
28	598	3528
29	617	3501
30	636	3472
31	660	3466
32	689	3491
33	708	3460
34	727	3431
35	746	3400
36	767	3381
37	787	3355
38	807	3332
39	828	3312
40	848	3291
41	869	3271
42	890	3252
43	911	3230
44	932	3211
45	954	3194
46	975	3174
47	995	3150
48	1015	3129
49	1035	3107
50	1055	3084
51	1075	3062
52	1097	3043
53	1117	3022
54	1138	3000
55	1159	2981
56	1181	2962
57	1201	2942
58	1222	2921
59	1243	2900
60	1263	2879
61	1283	2857
62	1304	2837
63	1325	2815
64	1344	2792
65	1363	2769
66	1383	2746
67	1404	2725
68	1424	2703
69	1444	2682
70	1464	2660
71	1483	2636
72	1502	2614
73	1522	2591
74	1541	2568
75	1560	2545
76	1579	2523
77	1598	2500
78	1623	2486
79	1646	2469
80	1677	2464
81	1698	2444
82	1718	2421
83	1737	2399
84	1756	2377
85	1781	2361
86	1802	2341
87	1823	2320
88	1843	2299
89	1865	2279
90	1885	2258
91	1905	2237
92	1926	2216
93	1947	2196
94	1968	2175
95	1989	2155
96	2018	2143
97	2043	2127
98	2065	2107
99	2087	2087
100	2109	2067
101	2135	2051
102	2158	2032
103	2179	2012
104	2201	1991
105	2222	1971
106	2243	1950
107	2265	1929
108	2285	1908
109	2309	1889
110	2329	1867
111	2348	1845
112	2369	1824
113	2388	1801
114	2408	1780
115	2427	1758
116	2447	1736
117	2466	1713
118	2485	1691
119	2504	1669
120	2524	1647
121	2543	1626
122	2563	1604
123	2582	1582
124	2602	1561
125	2622	1540
126	2642	1518
127	2671	1502
128	2695	1483
129	2714	1461
130	2734	1440
131	2754	1418
132	2774	1397
133	2795	1376
134	2817	1356
135	2837	1335
136	2860	1315
137	2881	1294
138	2902	1273
139	2923	1252
140	2944	1231
141	2964	1210
142	2984	1189
143	3005	1168
144	3026	1148
145	3047	1127
146	3068	1106
147	3089	1085
148	3109	1064
149	3129	1043
150	3152	1022
151	3173	1002
152	3194	981
153	3216	960
154	3236	939
155	3256	918
156	3276	897
157	3296	876
158	3316	855
159	3336	834
160	3357	813
161	3377	792
162	3395	770
163	3414	749
164	3433	728
165	3452	707
166	3472	686
167	3490	664
168	3510	644
169	3531	623
170	3550	602
171	3569	581
172	3589	560
173	3609	539
174	3629	518
175	3653	498
176	3682	478
177	3702	457
178	3721	436
179	3740	415
180	3760	394
181	3780	373
182	3800	353
183	3821	332
184	3840	311
185	3862	290
186	3883	269
187	3906	249
188	3927	228
189	3947	207
190	3968	186
191	3989	166
192	4010	145
193	4030	124
194	4052	103
195	4072	83
196	4093	62
197	4113	41
198	4135	20
199	4156	0
