Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),Net-Carbs (g),Water (g),Omega 3s (mg),Omega 6s (mg),PRAL score,"Phosphorus, P (mg)",Sodium (mg),"Zinc, Zn (mg)","Copper, Cu (mg)","Selenium, Se (mcg)",Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin B6 (mg),Folate (B9) (mcg),Folic acid (mcg),Food Folate (mcg),Retinol (mcg),"Carotene, beta (mcg)","Carotene, alpha (mcg)",Lycopene (mcg),Lutein + Zeaxanthin (mcg),"Fatty acids, total monounsaturated (mg)","Fatty acids, total polyunsaturated (mg)",20:5 n-3 (EPA) (mg),22:5 n-3 (DPA) (mg),22:6 n-3 (DHA) (mg),Caffeine (mg),Theobromine (mg),Price per Weight (£/100Gram),GHG(kgco3eq/100g)
52.0,0.17,0.26,13.81,10.39,2.4,0.027999999999999997,6.0,0.12,107.0,5.0,11.41,85.56,9.0,43.0,-1.933,11.0,1.0,0.04,0.027000000000000003,0.0,0.017,0.026000000000000002,0.091,0.040999999999999995,3.0,0.0,3.0,0.0,27.0,0.0,0.0,29.0,7.0,51.0,0.0,0.0,0.0,0.0,0.0,0.36470588200000004,0.0357
19.0,0.2,0.72,3.71,2.61,1.1,0.17600000000000002,24.0,0.29,250.0,25.0,2.61,94.99,0.0,2.0,-5.152,20.0,105.0,0.1,0.04,1.0,0.03,0.057,0.08,0.032,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3,0.075
17.0,0.32,1.21,3.11,2.5,1.0,0.084,16.0,0.37,261.0,18.0,2.11,94.79,61.0,30.0,-4.19,38.0,8.0,0.32,0.053,0.2,0.045,0.094,0.451,0.163,24.0,0.0,24.0,0.0,120.0,0.0,0.0,2125.0,11.0,91.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0455
62.0,0.0,0.42,15.0,13.75,0.0,0.0,0.0,0.0,10.0,0.0,15.0,84.52,0.0,0.0,-0.005,0.0,48.0,0.63,0.0,7.3,0.0,0.0,0.0,0.833,167.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.433333333,0.5752
412.0,10.38,9.66,74.67,24.63,9.4,1.12,101.0,2.69,501.0,110.0,65.27,3.39,510.0,1880.0,3.165,357.0,54.0,2.64,0.318,13.8,0.379,0.26,2.12,0.22899999999999998,33.0,0.0,33.0,0.0,5.0,0.0,0.0,114.0,5870.0,2390.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0988
247.0,19.07,17.44,0.0,0.0,0.0,7.291,17.0,1.97,274.0,17.0,0.0,62.58,2.0,404.0,8.016,160.0,66.0,4.23,0.062,15.2,0.043,0.151,4.305,0.32799999999999996,7.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,8480.0,505.0,0.0,2.0,0.0,0.0,0.0,0.47466666700000004,5.957000000000001
319.0,1.18,2.45,78.58,66.27,2.4,0.287,0.0,0.23,279.0,20.0,76.18,16.6,161.0,61.0,-3.362,50.0,162.0,0.3,0.3,2.1,0.062,0.085,2.0,0.33399999999999996,68.0,0.0,68.0,0.0,786.0,11.0,0.0,52.0,439.0,222.0,0.0,0.0,0.0,0.0,0.0,1.5,0.075
264.0,1.32,10.56,52.38,8.43,1.6,0.36,219.0,3.57,107.0,29.0,50.78,33.81,24.0,503.0,2.97,99.0,422.0,0.83,0.128,21.5,0.568,0.344,4.515,0.07,106.0,82.0,24.0,0.0,0.0,0.0,0.0,0.0,390.0,526.0,0.0,0.0,0.0,0.0,0.0,0.355555556,0.1441
40.0,1.02,1.66,6.08,5.93,0.0,0.643,61.0,0.03,89.0,19.0,6.08,90.81,4.0,46.0,-0.618,47.0,27.0,0.25,0.013999999999999999,1.3,0.02,0.122,0.898,0.019,3.0,0.0,3.0,27.0,2.0,0.0,0.0,0.0,280.0,52.0,0.0,0.0,0.0,0.0,0.0,0.484848485,1.6477
121.0,3.0,21.98,0.0,0.0,0.0,1.48,8.0,2.44,357.0,22.0,0.0,74.75,25.0,161.0,10.066,203.0,66.0,5.21,0.08,17.7,0.040999999999999995,0.151,5.662999999999999,0.401,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1134.0,222.0,0.0,0.0,0.0,0.0,0.0,0.47466666700000004,5.957000000000001
