iter	RMSE
0	7.894788382
1	7.837338077
2	7.779626879
3	7.723085986
4	7.666829243
5	7.611157063
6	7.555646416
7	7.500578221
8	7.445800716
9	7.391865699
10	7.348570494
11	7.295463658
12	7.242840596
13	7.190597323
14	7.13841733
15	7.086852943
16	7.035647839
17	6.984890921
18	6.934461809
19	6.884078844
20	6.834163748
21	6.784536278
22	6.735824311
23	6.68745951
24	6.639450968
25	6.591127018
26	6.543731506
27	6.496746657
28	6.450269285
29	6.404132801
30	6.358441451
31	6.31282556
32	6.267713422
33	6.22311903
34	6.178720307
35	6.134530806
36	6.090902209
37	6.047391637
38	6.004440001
39	5.961952911
40	5.919175106
41	5.876899563
42	5.835407823
43	5.793492442
44	5.752107675
45	5.711437786
46	5.671246481
47	5.63098285
48	5.591130772
49	5.550903446
50	5.511884561
51	5.473253267
52	5.434586975
53	5.396621285
54	5.358646813
55	5.328226553
56	5.291010699
57	5.253106445
58	5.216431889
59	5.180164367
60	5.144161656
61	5.108484851
62	5.07282564
63	5.037657109
64	5.002794905
65	4.968204712
66	4.9339501
67	4.899512843
68	4.865677165
69	4.832161007
70	4.798737745
71	4.765774361
72	4.733042067
73	4.699915345
74	4.667463298
75	4.635572338
76	4.602859885
77	4.571443433
78	4.539182965
79	4.506874695
80	4.475901381
81	4.445290718
82	4.415185006
83	4.385235017
84	4.354701892
85	4.324173006
86	4.294529454
87	4.275351624
88	4.24571078
89	4.244272853
90	4.237506805
91	4.208551888
92	4.180138014
93	4.151307211
94	4.123400281
95	4.095070663
96	4.066723921
97	4.038556177
98	4.011677268
99	3.984977748
100	3.958453876
101	3.932076629
102	3.905540202
103	3.879582224
104	3.853235286
105	3.827718653
106	3.810992531
107	3.785947782
108	3.76077006
109	3.735981628
110	3.734841059
111	3.710366507
112	3.686010332
113	3.661389176
114	3.636312822
115	3.61209939
116	3.588556994
117	3.56501997
118	3.541951596
119	3.518700703
120	3.495966208
121	3.473521899
122	3.4508207
123	3.433187241
124	3.411049468
125	3.39338367
126	3.37011303
127	3.348673016
128	3.327413861
129	3.305197961
130	3.283294476
131	3.280318051
132	3.257065111
133	3.235367838
134	3.214964291
135	3.19453426
136	3.174512067
137	3.153942085
138	3.151024961
139	3.13125051
140	3.111651701
141	3.092144709
142	3.076400616
143	3.054833804
144	3.035630561
145	3.016858203
146	2.99810748
147	2.994615232
148	2.975901076
149	2.956540167
