iter	Passed	Remaining
0	4	629
1	7	547
2	13	653
3	16	602
4	19	565
5	22	539
6	25	519
7	28	506
8	31	493
9	34	482
10	37	474
11	40	468
12	43	462
13	47	460
14	50	456
15	53	452
16	56	445
17	60	442
18	63	437
19	66	435
20	69	429
21	73	425
22	76	421
23	79	417
24	82	413
25	85	410
26	89	405
27	92	402
28	95	398
29	98	394
30	101	391
31	105	388
32	108	384
33	111	380
34	114	377
35	117	373
36	120	369
37	124	366
38	127	362
39	131	360
40	134	357
41	138	356
42	141	352
43	145	351
44	149	348
45	152	345
46	155	341
47	173	368
48	178	367
49	181	363
50	187	363
51	190	359
52	194	356
53	198	353
54	204	352
55	215	360
56	223	364
57	226	359
58	230	354
59	234	352
60	238	347
61	241	342
62	246	339
63	249	335
64	252	330
65	259	330
66	263	326
67	269	325
68	273	320
69	276	315
70	280	312
71	283	307
72	287	303
73	292	300
74	295	295
75	300	292
76	303	288
77	307	283
78	312	280
79	315	275
80	318	271
81	323	268
82	327	264
83	330	259
84	335	256
85	338	252
86	347	251
87	351	247
88	360	246
89	363	242
90	369	239
91	372	234
92	375	230
93	379	226
94	382	221
95	386	217
96	390	213
97	394	209
98	400	206
99	403	201
100	406	197
101	412	193
102	415	189
103	418	185
104	423	181
105	426	177
106	431	173
107	435	169
108	438	164
109	443	161
110	446	156
111	449	152
112	454	148
113	457	144
114	461	140
115	466	136
116	469	132
117	473	128
118	478	124
119	481	120
120	486	116
121	489	112
122	493	108
123	498	104
124	501	100
125	504	96
126	509	92
127	513	88
128	516	84
129	521	80
130	524	76
131	528	72
132	533	68
133	536	64
134	540	60
135	544	56
136	547	51
137	551	47
138	556	44
139	559	39
140	564	36
141	567	31
142	572	28
143	577	24
144	581	20
145	587	16
146	591	12
147	597	8
148	600	4
149	605	0
